user_id,timestamp,login_time,logout_time,files_accessed,sensitive_access,unauthorized_access,usb_usage,location,network_activity,device_id,is_admin,account_age_days,login_method,department,off_hours_login,known_device,previous_risk_score,current_risk_score,alert_triggered
U00001,2025-06-14 21:00:04.281767,17:12:00,18:02:00,82,False,0,0,HQ,1537.63,DeviceC,False,805,MFA,Finance,False,True,22.28,24.95,False
U00002,2025-05-23 09:20:04.283197,09:28:00,12:20:00,31,False,0,1,VPN,4431.33,DeviceA,False,456,Password,HR,False,True,28.02,31.08,False
U00003,2025-06-28 08:46:04.283197,09:24:00,11:27:00,44,True,0,1,New_Device,4526.32,DeviceC,False,759,SSO,Finance,False,True,6.82,33.36,False
U00004,2025-07-20 22:06:04.283197,02:36:00,09:10:00,5,False,0,0,HQ,2312.42,DeviceD,False,964,Biometric,Finance,True,False,38.95,8.73,False
U00005,2025-08-04 13:56:04.283197,16:01:00,00:15:00,72,True,1,0,HQ,1256.67,DeviceA,True,557,MFA,Sales,False,True,6.89,39.97,False
U00006,2025-05-11 09:53:04.283197,14:49:00,21:56:00,16,False,0,0,Remote,336.35,DeviceB,False,187,Password,Sales,False,True,25.64,23.44,False
U00007,2025-06-03 01:25:04.283197,05:57:00,06:27:00,37,False,0,0,New_Device,3951.32,DeviceC,False,1808,SSO,Legal,True,True,9.96,9.57,False
U00008,2025-05-16 17:50:04.283197,03:46:00,08:32:00,27,False,1,0,VPN,3061.49,DeviceC,False,836,MFA,Finance,True,True,28.05,32.64,False
U00009,2025-07-09 11:18:04.283197,06:26:00,14:29:00,16,False,0,0,Remote,4959.47,DeviceB,False,1772,Biometric,Finance,True,True,40.26,30.45,True
U00010,2025-06-25 00:27:04.284598,13:08:00,18:52:00,48,False,0,0,HQ,3445.91,DeviceD,False,1895,SSO,Sales,False,True,11.1,37.79,False
U00011,2025-05-14 16:23:04.284598,18:52:00,22:34:00,49,False,0,0,Remote,2537.69,DeviceD,False,380,Biometric,Sales,False,True,41.45,40.93,True
U00012,2025-05-28 22:14:04.284598,19:54:00,01:17:00,50,False,0,0,HQ,1386.9,DeviceB,False,1277,MFA,IT,False,True,42.99,9.97,True
